Level 1,Level 2,Level 3
Labor,JPL,LJ-RESEARCH-1-2
Labor,JPL,LJ-RESEARCH-3
Labor,JPL,LJ-RESEARCH-4
Labor,JPL,LJ-RESEARCH-5-6
Labor,JPL,LJ-SCI & TECH SPEC-ASSOC
Labor,JPL,LJ-SCI & TECH SPEC-MGR I
Labor,JPL,LJ-SCI & TECH SPEC-MGR I PRIN
Labor,JPL,LJ-SCI & TECH SPEC-MGR II
Labor,JPL,LJ-SCI & TECH SPEC-PRIN
Labor,JPL,LJ-SCI & TECH SPEC-PRIN SCI
Labor,JPL,LJ-SCI & TECH SPEC-RES SCI
Labor,JPL,LJ-SCI & TECH SPEC-SCI
Labor,JPL,LJ-SCI & TECH SPEC-SENIOR
Labor,JPL,LJ-SCI & TECH SPEC-STAFF
Labor,JPL,LJ-SCIENCE-PRIN SCI
Labor,JPL,LJ-SCIENCE-RES SCI
Labor,JPL,LJ-SCIENCE-SCI
Labor,JPL,LJ-SCIENCE-SR RES SCI
Labor,JPL,LJ-SECRETARIAL SUPPORT
Labor,JPL,LJ-SITE SVCS SUPP-ASSOC
Labor,JPL,LJ-SITE SVCS SUPP-SENIOR
Labor,JPL,LJ-SITE SVCS SUPP-STAFF
Labor,JPL,LJ-SITE SVCS-ASSOC
Labor,JPL,LJ-SITE SVCS-PRIN
Labor,JPL,LJ-SITE SVCS-SENIOR
Labor,JPL,LJ-SITE SVCS-STAFF
Labor,JPL,LJ-STU SUPP
Labor,JPL,LJ-STUDENT GRAD
Labor,JPL,LJ-STUDENT UNDERGRAD
Labor,JPL,LJ-SW CMPTG SYS-1-2
Labor,JPL,LJ-SW CMPTG SYS-3-4
Labor,JPL,LJ-SW CMPTG SYS-5-6
Labor,JPL,LJ-TECH ASST-ASSOC
Labor,JPL,LJ-TECH ASST-SENIOR
Labor,JPL,LJ-TECH ASST-STAFF
Labor,JPL,LJ-TECH STAFF-ASSOC
Labor,JPL,LJ-TECH STAFF-PRIN
Labor,JPL,LJ-TECH STAFF-SENIOR
Labor,JPL,LJ-TECH STAFF-STAFF
Labor,JPL,LJ-LEAD MANAGEMENT TIME
Labor,JPL,LJ-STUDENT UNDERGRAD SUMMER
Labor,JPL,LJ-STUDENT UNDERGRAD YR-ROUND
Procurement,PO,CALTECH TRANSFERS
Procurement,PO,CHARGEBACKS
Procurement,PO,CT-1260 TRANSFER
Procurement,PO,CT-CALTECH TRANSFER
Procurement,PO,CV-1260 TRANSFER
Procurement,PO,CV-BURDEN
Procurement,PO,DC-MISCELLANEOUS
Procurement,PO,DC-OVERRUN WRITEOFF
Procurement,PO,DC-TABLE MOUNTAIN
Procurement,PO,DC-WORKMANSHIP TRAINING
Procurement,PO,FUNDING
Procurement,IA,IA-1260 TRANSFER
Procurement,IA,IA-GS MANAGEMENT DIST
Procurement,IA,IA-INTERDIVISIONAL AUTH
Procurement,IA,IA-PROCUREMENTS
Procurement,IA,IA-SUBCONTRACTS
Procurement,IA,INTERDIVISIONAL AUTHORIZATIONS
Procurement,JPL,LABOR-JPL
Procurement,PO,PO-1260 TRANSFER
Procurement,PO,PO-BCID CORRECTIONS
Procurement,PO,PO-CONSULTING&PROF SERVICES
Procurement,PO,PO-FREIGHT
Procurement,PO,PO-G REQS
Procurement,PO,PO-MAINTENANCE & SERVICE
